City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hermanus,-34.4187,19.2345,288.04,87,2,0.7,ZA,1691339742
84,pisco,-13.7,-76.2167,294.18,68,20,4.12,PE,1691339742
85,akureyri,65.6835,-18.0878,288.11,63,40,5.14,IS,1691339742
86,mugia,43.1041,-9.2179,299.77,69,14,11.92,ES,1691339742
87,meadow lakes,61.6247,-149.6011,289.18,78,100,2.57,US,1691339743
88,dompu,-8.5356,118.4622,293.79,94,91,1.54,ID,1691339743
89,susanville,40.4163,-120.653,297.49,38,0,0.89,US,1691339743
90,ust-nera,64.5667,143.2,277.33,91,11,3.19,RU,1691339743
91,sangre grande,10.5835,-61.1177,307.69,58,7,3.16,TT,1691339744
92,whitehorse,60.7161,-135.0538,291.58,59,40,5.66,CA,1691339744
93,botshabelo,-29.2702,26.7052,287.8,21,1,1.05,ZA,1691339460
94,yellowknife,62.456,-114.3525,291.44,48,75,3.6,CA,1691339701
95,ryotsu-minato,38.0833,138.4333,300.86,88,34,2.13,JP,1691339745
96,berbera,10.4396,45.0143,306.3,49,95,4.48,SO,1691339745
97,keflavik,64.0049,-22.5624,285.1,100,75,1.03,IS,1691339745
98,kampong cham,11.9934,105.4635,300.07,70,100,4.81,KH,1691339745
99,oban,56.4127,-5.4706,288.1,77,20,5.14,GB,1691339745
100,rio bueno,-40.3167,-72.9667,282.23,67,65,0.26,CL,1691339745
101,prince rupert,54.3161,-130.3201,292.2,92,0,2.57,CA,1691339746
102,dryden,49.7833,-92.7503,295.31,60,0,2.06,CA,1691339746
103,gereshk,31.8209,64.5701,307.46,9,0,2.84,AF,1691339746
104,torghay,49.6339,63.4981,299.14,46,93,1.98,KZ,1691339746
105,cloquet,46.7216,-92.4594,296.29,66,0,2.06,US,1691339746
106,es castell,39.8795,4.2854,297.53,64,75,4.63,ES,1691339746
107,albany,42.6001,-73.9662,299.79,56,6,0.89,US,1691339231
108,hatten,53.0167,8.35,293.68,76,100,2.68,DE,1691339746
109,port lincoln,-34.7333,135.8667,283.77,77,44,4.1,AU,1691339747
110,belmonte,-15.8631,-38.8828,299.05,52,47,3.29,BR,1691339747
111,ta`u,-14.2336,-169.5144,300.04,78,55,3.98,AS,1691339747
112,bilibino,68.0546,166.4372,274.49,88,100,3.65,RU,1691339747
113,sen monorom,12.45,107.2,294.32,94,98,2.36,KH,1691339747
114,ugoofaaru,5.6667,73.0,301.51,79,100,5.98,MV,1691339747
115,college,64.8569,-147.8028,295.49,66,75,2.57,US,1691339619
116,port mathurin,-19.6833,63.4167,296.09,61,44,11.65,MU,1691339747
117,guerrero negro,27.9769,-114.0611,302.59,38,36,0.93,MX,1691339748
118,yatagan,37.3403,28.1428,301.85,52,0,1.92,TR,1691339748
119,san luis de la loma,17.2706,-100.8939,301.26,69,100,1.36,MX,1691339748
120,fortuna,40.5982,-124.1573,288.52,98,100,0.0,US,1691339594
121,rio grande,-32.035,-52.0986,304.21,63,2,5.58,BR,1691339748
122,malka,43.8039,43.3242,303.23,66,0,1.64,RU,1691339748
123,bamboo flat,11.7,92.7167,300.97,84,80,6.5,IN,1691339748
124,muisne,0.6,-80.0333,300.21,77,100,4.4,EC,1691339749
125,cururupu,-1.8283,-44.8683,304.69,52,73,3.8,BR,1691339749
126,punta arenas,-53.15,-70.9167,274.34,64,91,9.08,CL,1691339749
127,balpyk bi,44.8947,78.2083,299.55,34,100,2.29,KZ,1691339749
128,bangolo,7.0069,-7.475,300.45,75,62,1.26,CI,1691339749
129,thompson,55.7435,-97.8558,288.24,88,100,5.14,CA,1691339749
130,gizo,-8.103,156.8419,299.13,82,99,6.84,SB,1691339749
131,yangquan,37.8575,113.5633,294.95,93,81,1.05,CN,1691339750
132,haiku-pauwela,20.9219,-156.3051,298.17,68,0,3.13,US,1691339750
133,kiffa,16.6166,-11.4045,312.29,29,71,6.4,MR,1691339750
134,iskateley,67.6803,53.1512,291.83,80,81,3.06,RU,1691339750
135,naze,28.3667,129.4833,298.66,93,100,15.93,JP,1691339750
136,netley,50.8763,-1.354,294.28,70,20,4.63,GB,1691339696
137,shumikha,55.2261,63.2961,291.3,91,47,2.13,RU,1691339750
138,cayenne,4.9333,-52.3333,305.17,66,40,3.6,GF,1691339750
